equipment_id,equipment_type,brand,model,manufacture_year,machine_age_years,fuel_tank_capacity_liters,max_operating_hours_per_day,last_service_date,service_interval_days,current_status,current_health_score,current_location_lat,current_location_lon,geofence_status,demand_level
EQX1025,Bulldozer,CAT,D8,2016,10.1,610,10,2026-06-09,45,Idle,56,9.898861,78.086874,Outside,High
EQX1026,Excavator,CAT,320 GX,2017,9.2,359,12,2026-06-08,45,Available,68,12.955092,77.628824,Inside,Medium
EQX1027,Excavator,CASE,320D,2025,1.4,267,12,2026-07-03,30,Available,98,12.960711,77.599633,Inside,Medium
EQX1028,Forklift,CASE,DP30,2018,8.9,116,8,2026-06-04,45,Idle,59,10.999184,76.962927,Inside,Low
EQX1029,Forklift,JCB,FD25,2023,3.8,97,8,2026-07-22,45,Rented,88,17.348627,78.520302,Inside,Medium
EQX1030,Forklift,JCB,DP50,2023,3.4,79,8,2026-06-11,60,Available,87,10.987622,76.950968,Inside,High
EQX1031,Backhoe Loader,Hitachi,4DX,2018,8.7,139,10,2026-07-28,60,Rented,62,13.019759,77.631183,Inside,High
EQX1032,Motor Grader,Komatsu,140K,2025,1.4,237,10,2026-07-01,60,Available,91,11.002026,76.970331,Inside,Medium
EQX1033,Motor Grader,Hitachi,160K,2018,8.8,193,10,2026-07-23,30,Available,67,12.955848,77.596994,Inside,High
EQX1034,Excavator,CAT,320D,2016,10.3,320,12,2026-07-18,30,Rented,55,10.988468,76.930795,Inside,Medium
EQX1035,Wheel Loader,CASE,980,2024,2.8,286,11,2026-06-29,60,Rented,93,9.888452,78.138733,Inside,High
EQX1036,Motor Grader,CAT,140K,2020,6.2,297,10,2026-07-17,30,Idle,74,11.063222,76.945661,Inside,Low
EQX1037,Excavator,Volvo,336,2021,5.9,253,12,2026-06-24,45,Rented,74,9.897509,78.085697,Inside,High
EQX1038,Backhoe Loader,JCB,3DX,2021,5.8,152,10,2026-07-08,60,Rented,80,12.935546,77.609381,Inside,Low
EQX1039,Backhoe Loader,CASE,3DX,2023,3.7,177,10,2026-06-06,30,Rented,85,12.932014,77.632659,Inside,High
EQX1040,Forklift,CAT,DP30,2018,8.2,93,8,2026-06-07,60,Available,64,17.359187,78.490984,Inside,Medium
EQX1041,Motor Grader,JCB,140K,2020,6.2,271,10,2026-06-14,30,Rented,73,17.41376,78.519541,Inside,Low
EQX1042,Excavator,CASE,320D,2019,7.2,403,12,2026-07-16,45,Rented,73,12.943508,77.610813,Inside,Medium
EQX1043,Wheel Loader,Hitachi,980,2020,6.3,298,11,2026-06-10,60,Rented,75,9.922515,78.137167,Inside,High
EQX1044,Motor Grader,CAT,140K,2021,5.3,219,10,2026-07-15,45,Available,77,13.018208,77.560928,Inside,Medium
EQX1045,Excavator,Komatsu,336,2022,4.6,316,12,2026-07-17,30,Available,77,13.083415,80.285727,Inside,Medium
EQX1046,Wheel Loader,Volvo,966GC,2018,9.0,239,11,2026-07-17,60,Available,63,17.359512,78.535748,Inside,Medium
EQX1047,Motor Grader,JCB,160K,2017,9.6,224,10,2026-07-04,30,Rented,58,12.942252,77.605087,Inside,High
EQX1048,Bulldozer,CAT,D9,2021,5.4,401,10,2026-07-05,45,Available,80,11.027793,76.95408,Inside,Medium
EQX1049,Forklift,Hitachi,FD25,2019,7.5,112,8,2026-06-18,60,Rented,70,9.889605,78.152664,Inside,High
EQX1050,Backhoe Loader,Komatsu,3DX,2019,7.8,126,10,2026-06-23,45,Available,63,13.103742,80.294891,Inside,Medium
EQX1051,Forklift,Hitachi,DP30,2020,6.1,93,8,2026-07-21,30,Rented,71,17.407762,78.526141,Inside,Medium
EQX1052,Motor Grader,Hitachi,140K,2023,3.9,252,10,2026-07-06,30,Available,89,9.876664,78.164937,Inside,High
EQX1053,Backhoe Loader,CAT,3DX,2025,1.8,135,10,2026-07-25,30,Rented,96,10.981209,76.955114,Inside,Medium
EQX1054,Forklift,Komatsu,DP30,2016,10.8,93,8,2026-06-29,45,Rented,61,9.94898,78.084114,Inside,Low
EQX1055,Excavator,Komatsu,336,2018,8.7,251,12,2026-06-08,60,Idle,60,9.912757,78.124509,Inside,Low
EQX1056,Wheel Loader,Komatsu,980,2025,1.9,337,11,2026-06-05,30,Rented,93,9.915561,78.119798,Inside,Medium
EQX1057,Wheel Loader,JCB,980,2017,9.9,239,11,2026-06-12,30,Available,56,9.943444,78.116752,Inside,Low
EQX1058,Bulldozer,CASE,D9,2021,5.3,496,10,2026-07-26,30,Idle,81,13.004285,77.579619,Inside,Medium
EQX1059,Motor Grader,CAT,120K,2017,10.0,267,10,2026-06-01,30,Available,63,17.411972,78.49601,Inside,Medium
EQX1060,Excavator,Volvo,336,2023,3.5,351,12,2026-07-12,60,Rented,82,17.377365,78.454657,Inside,Medium
EQX1061,Motor Grader,Volvo,140K,2023,4.0,186,10,2026-07-13,60,Rented,83,11.051341,76.976348,Inside,High
EQX1062,Forklift,CASE,FD25,2025,1.3,104,8,2026-06-09,45,Maintenance,91,10.980101,77.005618,Inside,High
EQX1063,Excavator,CASE,320 GX,2017,9.9,332,12,2026-07-12,45,Idle,57,9.942278,78.103675,Inside,Medium
EQX1064,Backhoe Loader,CAT,4DX,2023,3.7,128,10,2026-06-29,30,Rented,89,11.060575,76.970578,Inside,Medium
EQX1065,Excavator,Volvo,320D,2018,8.6,253,12,2026-06-27,30,Available,63,13.005936,77.580674,Inside,High
EQX1066,Bulldozer,CAT,D9,2024,2.3,413,10,2026-07-12,60,Rented,93,12.94422,77.629613,Inside,Medium
EQX1067,Motor Grader,Hitachi,120K,2018,8.4,226,10,2026-07-13,45,Available,67,17.431056,78.523543,Inside,Medium
EQX1068,Backhoe Loader,JCB,B95,2019,8.0,154,10,2026-07-29,30,Idle,68,17.429266,78.473558,Inside,High
EQX1069,Excavator,CAT,320 GX,2021,5.8,435,12,2026-06-18,45,Rented,79,17.382463,78.493664,Inside,Low
EQX1070,Motor Grader,CASE,120K,2019,7.2,233,10,2026-07-12,30,Rented,76,12.964698,77.5713,Inside,Low
EQX1071,Bulldozer,JCB,D8,2025,1.1,564,10,2026-07-02,60,Rented,94,12.927494,77.642964,Inside,Medium
EQX1072,Backhoe Loader,CAT,3DX,2024,2.5,139,10,2026-07-05,60,Rented,87,9.923359,78.076701,Inside,High
EQX1073,Wheel Loader,Volvo,950GC,2018,8.8,251,11,2026-05-31,30,Available,63,11.058591,76.999675,Inside,High
EQX1074,Forklift,CAT,FD25,2025,1.5,106,8,2026-06-06,45,Available,96,9.90144,78.130521,Inside,Medium
EQX1075,Backhoe Loader,JCB,3DX,2025,1.8,146,10,2026-06-18,30,Rented,97,17.351097,78.490691,Inside,High
EQX1076,Excavator,CAT,320 GX,2023,3.8,287,12,2026-07-23,60,Available,87,13.110954,80.28529,Inside,Medium
EQX1077,Backhoe Loader,Hitachi,3DX,2019,7.8,160,10,2026-07-29,60,Available,68,11.066524,76.999774,Inside,Low
EQX1078,Forklift,CAT,DP30,2018,8.6,114,8,2026-07-01,60,Available,65,17.336147,78.516876,Inside,High
EQX1079,Forklift,CASE,FD25,2021,5.3,113,8,2026-07-08,60,Maintenance,83,17.37712,78.472524,Inside,Low
EQX1080,Motor Grader,Komatsu,160K,2018,8.3,235,10,2026-06-27,30,Rented,69,17.388636,78.4653,Inside,Medium
EQX1081,Wheel Loader,Volvo,980,2018,8.7,332,11,2026-07-19,60,Available,60,12.945824,77.615465,Inside,High
EQX1082,Forklift,CASE,DP50,2017,9.1,91,8,2026-06-21,45,Rented,58,9.941536,78.127737,Inside,Low
EQX1083,Excavator,JCB,320 GX,2023,3.2,418,12,2026-06-15,60,Available,87,17.425105,78.501173,Inside,High
EQX1084,Forklift,Volvo,DP50,2023,4.0,89,8,2026-07-11,30,Maintenance,89,11.059197,76.938358,Outside,Medium
EQX1085,Motor Grader,CAT,160K,2024,2.0,264,10,2026-06-29,30,Idle,87,9.917941,78.103417,Inside,Low
EQX1086,Backhoe Loader,CASE,B95,2022,4.3,146,10,2026-07-18,60,Rented,77,10.983493,76.958365,Inside,Medium
EQX1087,Excavator,CASE,336,2018,8.0,263,12,2026-07-12,45,Maintenance,73,12.947913,77.611835,Inside,Medium
EQX1088,Backhoe Loader,CAT,B95,2025,1.2,160,10,2026-06-16,60,Available,90,9.890872,78.090907,Inside,High
EQX1089,Backhoe Loader,CASE,3DX,2021,5.6,162,10,2026-07-29,45,Available,74,13.042698,80.240531,Inside,High
EQX1090,Bulldozer,CASE,D9,2024,2.5,392,10,2026-06-18,30,Rented,94,13.103233,80.261684,Inside,Medium
EQX1091,Excavator,CASE,320D,2019,7.3,319,12,2026-07-16,60,Available,71,9.88584,78.118731,Inside,Low
EQX1092,Motor Grader,JCB,160K,2024,2.2,217,10,2026-06-19,45,Available,93,9.92693,78.118836,Inside,Low
EQX1093,Excavator,Volvo,320 GX,2018,8.2,358,12,2026-07-29,60,Available,64,12.972085,77.591959,Inside,Low
EQX1094,Bulldozer,JCB,D6,2022,4.0,553,10,2026-06-06,30,Available,79,17.41456,78.51973,Inside,High
EQX1095,Backhoe Loader,Komatsu,B95,2021,5.8,134,10,2026-06-29,30,Available,76,10.969724,76.948559,Inside,Medium
EQX1096,Excavator,CASE,336,2021,5.1,412,12,2026-06-06,60,Available,82,17.389327,78.509462,Inside,High
EQX1097,Wheel Loader,JCB,980,2017,9.3,334,11,2026-07-24,60,Available,63,12.923209,77.604395,Inside,High
EQX1098,Bulldozer,Volvo,D9,2017,9.9,473,10,2026-07-25,30,Rented,62,17.349725,78.446436,Inside,Medium
EQX1099,Wheel Loader,Hitachi,950GC,2016,10.4,254,11,2026-06-16,45,Rented,58,13.005894,77.644519,Inside,Low
EQX1100,Forklift,Volvo,DP50,2022,4.6,75,8,2026-06-22,60,Available,83,12.957349,77.575623,Inside,Medium
EQX1101,Motor Grader,Volvo,160K,2017,9.9,280,10,2026-07-27,30,Rented,60,13.034775,80.224005,Inside,Low
EQX1102,Backhoe Loader,Volvo,3DX,2017,9.9,122,10,2026-06-16,60,Idle,56,12.956315,77.574627,Inside,Medium
EQX1103,Excavator,CAT,320D,2025,1.2,366,12,2026-07-18,45,Rented,96,10.97422,76.942547,Inside,Medium
EQX1104,Motor Grader,CAT,160K,2016,10.1,210,10,2026-07-08,45,Available,54,10.969124,76.970018,Inside,Medium
EQX1105,Forklift,CASE,FD25,2017,9.8,99,8,2026-06-20,60,Rented,61,10.992229,76.963978,Inside,Medium
EQX1106,Backhoe Loader,Komatsu,B95,2023,3.1,123,10,2026-07-13,30,Rented,91,10.998473,76.95062,Inside,Low
EQX1107,Bulldozer,Komatsu,D8,2020,6.7,623,10,2026-07-17,30,Rented,72,12.946747,77.568044,Inside,High
EQX1108,Wheel Loader,JCB,980,2021,5.5,226,11,2026-07-24,30,Maintenance,83,9.896675,78.15569,Inside,High
EQX1109,Motor Grader,Komatsu,120K,2020,6.5,284,10,2026-06-19,60,Available,78,17.396384,78.488482,Inside,Low
EQX1110,Forklift,Volvo,FD25,2022,4.5,102,8,2026-07-26,60,Idle,81,13.070515,80.307474,Inside,Low
EQX1111,Wheel Loader,Volvo,980,2023,3.7,377,11,2026-07-12,60,Available,84,12.921749,77.544619,Inside,Low
EQX1112,Bulldozer,Hitachi,D8,2017,9.5,465,10,2026-06-11,60,Available,67,11.02158,76.91131,Inside,Low
EQX1113,Bulldozer,Hitachi,D9,2024,2.5,592,10,2026-07-15,60,Available,92,13.123616,80.284308,Inside,High
EQX1114,Forklift,Komatsu,DP50,2020,6.3,84,8,2026-07-21,60,Rented,72,13.114392,80.27139,Inside,Low
EQX1115,Backhoe Loader,Volvo,3DX,2018,8.3,121,10,2026-07-24,60,Rented,61,17.378509,78.48937,Inside,Low
EQX1116,Bulldozer,JCB,D6,2020,6.4,577,10,2026-06-22,30,Available,72,17.349197,78.497633,Inside,Low
EQX1117,Backhoe Loader,Hitachi,B95,2018,8.1,180,10,2026-07-06,45,Rented,64,12.970148,77.635201,Inside,Low
EQX1118,Forklift,Komatsu,DP30,2020,6.5,78,8,2026-06-16,45,Rented,76,17.360902,78.51649,Inside,Low
EQX1119,Wheel Loader,CAT,980,2017,9.9,366,11,2026-06-07,60,Rented,60,9.949286,78.097969,Inside,High
EQX1120,Wheel Loader,CAT,980,2019,7.2,370,11,2026-07-18,30,Available,73,11.014185,76.944586,Inside,High
EQX1121,Wheel Loader,Hitachi,950GC,2023,3.4,234,11,2026-07-29,30,Available,91,12.968812,77.576163,Inside,Medium
EQX1122,Backhoe Loader,Hitachi,B95,2016,10.8,154,10,2026-06-18,30,Rented,61,17.37147,78.460644,Inside,Medium
EQX1123,Forklift,JCB,DP50,2018,8.7,79,8,2026-06-21,45,Available,70,9.898017,78.089818,Inside,Medium
EQX1124,Backhoe Loader,CAT,B95,2025,1.5,168,10,2026-06-09,45,Available,94,9.960824,78.103186,Inside,Medium
EQX1125,Excavator,Hitachi,320D,2020,6.1,252,12,2026-05-31,60,Idle,76,10.992519,76.983556,Inside,Medium
EQX1126,Backhoe Loader,JCB,4DX,2021,5.1,159,10,2026-06-20,30,Available,74,17.376962,78.47611,Inside,Medium
EQX1127,Motor Grader,CAT,120K,2020,6.8,257,10,2026-06-03,45,Available,73,12.974661,77.604692,Inside,High
EQX1128,Bulldozer,CASE,D9,2017,9.5,477,10,2026-07-25,60,Rented,64,9.878046,78.150128,Inside,High
EQX1129,Motor Grader,JCB,140K,2016,10.9,197,10,2026-06-21,45,Available,52,13.055365,80.252257,Inside,Medium
EQX1130,Excavator,Hitachi,320D,2021,5.2,403,12,2026-06-30,60,Available,80,11.053142,76.970015,Inside,Medium
EQX1131,Wheel Loader,Komatsu,980,2020,6.6,321,11,2026-06-06,30,Rented,72,13.008713,77.615991,Inside,Medium
EQX1132,Bulldozer,Volvo,D8,2021,5.8,407,10,2026-07-23,45,Rented,74,17.356399,78.48744,Inside,Low
EQX1133,Bulldozer,Komatsu,D9,2017,9.9,442,10,2026-06-13,60,Available,55,17.4148,78.532145,Inside,Low
EQX1134,Motor Grader,JCB,160K,2016,10.2,189,10,2026-07-10,30,Available,55,11.032077,76.999995,Inside,Medium
EQX1135,Motor Grader,Volvo,160K,2018,8.1,256,10,2026-06-01,45,Rented,68,13.121183,80.306106,Inside,Medium
EQX1136,Motor Grader,JCB,140K,2024,2.0,277,10,2026-07-15,60,Rented,95,17.379709,78.52615,Inside,Medium
EQX1137,Backhoe Loader,Komatsu,4DX,2016,10.9,138,10,2026-07-01,45,Available,58,9.966585,78.117027,Inside,Low
EQX1138,Wheel Loader,Komatsu,966GC,2022,4.8,370,11,2026-06-20,45,Rented,75,13.10417,80.225424,Inside,Medium
EQX1139,Bulldozer,CASE,D8,2019,7.0,508,10,2026-07-27,30,Idle,76,11.018736,76.927786,Inside,High
EQX1140,Forklift,CASE,DP50,2023,3.0,74,8,2026-07-24,45,Maintenance,85,11.03377,76.996938,Inside,Medium
EQX1141,Forklift,Komatsu,FD25,2020,6.2,113,8,2026-06-07,30,Rented,70,12.957215,77.614705,Inside,Medium
EQX1142,Motor Grader,CAT,140K,2017,9.9,273,10,2026-06-29,45,Rented,60,17.420977,78.44583,Inside,Low
EQX1143,Forklift,Hitachi,DP50,2022,4.6,93,8,2026-07-05,60,Rented,82,17.37194,78.486788,Inside,Medium
EQX1144,Backhoe Loader,CASE,3DX,2021,5.2,147,10,2026-06-11,60,Available,77,9.95824,78.116586,Inside,High
EQX1145,Motor Grader,CASE,160K,2018,8.5,196,10,2026-06-18,45,Rented,63,9.943939,78.150348,Inside,High
EQX1146,Backhoe Loader,CASE,B95,2022,4.5,168,10,2026-07-14,30,Rented,87,11.016391,76.933495,Inside,Medium
EQX1147,Wheel Loader,CAT,950GC,2017,9.7,252,11,2026-06-21,30,Rented,63,9.950459,78.133427,Inside,Medium
EQX1148,Wheel Loader,JCB,966GC,2018,8.4,373,11,2026-06-16,30,Rented,71,9.889446,78.091325,Inside,Medium
EQX1149,Motor Grader,Hitachi,120K,2018,8.4,249,10,2026-07-14,45,Available,61,10.971947,76.99955,Inside,Medium
EQX1150,Backhoe Loader,JCB,3DX,2022,4.2,145,10,2026-07-30,45,Rented,80,11.060202,76.925486,Inside,Low
EQX1151,Backhoe Loader,JCB,4DX,2021,5.8,175,10,2026-06-10,45,Available,78,17.406081,78.488897,Inside,Medium
EQX1152,Backhoe Loader,Komatsu,3DX,2017,9.6,167,10,2026-07-19,30,Idle,56,11.01011,76.919782,Inside,Low
EQX1153,Motor Grader,Komatsu,140K,2018,8.7,217,10,2026-06-30,45,Idle,70,12.989254,77.58887,Inside,High
EQX1154,Forklift,Hitachi,DP50,2022,4.3,108,8,2026-06-30,45,Rented,86,10.983008,76.94359,Inside,High
EQX1155,Backhoe Loader,Komatsu,B95,2022,4.4,161,10,2026-06-02,45,Available,87,12.956479,77.630773,Inside,Medium
EQX1156,Bulldozer,Hitachi,D6,2018,9.0,352,10,2026-07-08,45,Rented,69,17.341021,78.4671,Inside,Medium
EQX1157,Bulldozer,Hitachi,D9,2016,10.1,452,10,2026-07-14,45,Available,54,13.118473,80.243937,Inside,Low
EQX1158,Motor Grader,Hitachi,140K,2018,8.6,281,10,2026-07-10,45,Rented,68,9.906755,78.104525,Inside,High
EQX1159,Motor Grader,Komatsu,120K,2018,8.7,273,10,2026-06-11,60,Available,70,13.102206,80.257234,Inside,Low
EQX1160,Backhoe Loader,Volvo,4DX,2023,3.0,142,10,2026-06-09,60,Rented,93,12.935348,77.631009,Inside,Medium
EQX1161,Bulldozer,CAT,D6,2024,2.8,430,10,2026-06-26,30,Rented,87,9.940316,78.099438,Inside,High
EQX1162,Excavator,CASE,320D,2020,6.8,287,12,2026-07-08,30,Available,71,12.993299,77.571065,Inside,Medium
EQX1163,Excavator,JCB,320D,2023,3.2,421,12,2026-07-08,45,Available,87,13.105043,80.242185,Inside,Medium
EQX1164,Bulldozer,Volvo,D6,2025,1.8,437,10,2026-07-25,60,Rented,89,11.017527,76.995607,Inside,Low
EQX1165,Excavator,CASE,320D,2022,4.5,273,12,2026-06-30,60,Available,80,10.997054,76.933437,Inside,Medium
EQX1166,Wheel Loader,Komatsu,980,2025,1.3,399,11,2026-07-01,45,Available,97,12.985805,77.589651,Inside,Medium
EQX1167,Motor Grader,Hitachi,140K,2021,5.9,245,10,2026-07-18,45,Rented,80,17.403391,78.477455,Inside,Medium
EQX1168,Excavator,CAT,320 GX,2023,3.4,294,12,2026-06-05,45,Available,89,10.979554,76.958616,Inside,High
EQX1169,Forklift,CAT,DP50,2017,9.9,104,8,2026-06-18,45,Available,64,11.012036,76.969112,Inside,Medium
EQX1170,Motor Grader,Hitachi,120K,2020,6.5,206,10,2026-07-23,60,Maintenance,71,11.036156,76.964854,Inside,High
EQX1171,Wheel Loader,CAT,966GC,2017,9.8,248,11,2026-06-05,60,Available,57,11.011327,76.933409,Inside,Low
EQX1172,Bulldozer,CAT,D9,2021,5.7,601,10,2026-06-08,60,Available,72,12.922843,77.545984,Inside,Medium
EQX1173,Motor Grader,Komatsu,160K,2020,6.2,215,10,2026-07-10,30,Rented,76,11.031075,76.911197,Inside,Low
EQX1174,Excavator,CASE,336,2019,7.8,359,12,2026-07-22,60,Idle,70,11.061396,76.963322,Inside,High
EQX1175,Excavator,Komatsu,320D,2019,7.2,385,12,2026-06-07,45,Rented,73,13.107023,80.229137,Inside,Medium
EQX1176,Bulldozer,CAT,D8,2022,4.5,477,10,2026-06-05,45,Maintenance,81,12.986367,77.60326,Inside,Low
EQX1177,Excavator,CASE,336,2018,8.7,444,12,2026-07-23,45,Available,62,13.071316,80.263495,Inside,Low
EQX1178,Wheel Loader,Hitachi,950GC,2017,9.2,400,11,2026-06-12,45,Available,67,11.064826,76.997108,Inside,Medium
EQX1179,Excavator,Hitachi,320D,2025,2.0,254,12,2026-07-15,45,Rented,92,10.976352,76.946199,Inside,High
EQX1180,Backhoe Loader,CAT,3DX,2016,10.2,156,10,2026-07-30,45,Rented,57,13.086483,80.264049,Inside,High
EQX1181,Wheel Loader,Hitachi,950GC,2024,2.4,340,11,2026-07-05,30,Idle,92,17.378544,78.509332,Inside,High
EQX1182,Wheel Loader,CAT,950GC,2016,10.1,269,11,2026-06-24,45,Available,59,17.361389,78.460887,Inside,Medium
EQX1183,Forklift,Komatsu,FD25,2023,3.6,78,8,2026-07-16,60,Available,90,9.97485,78.11591,Inside,High
EQX1184,Motor Grader,JCB,140K,2022,4.2,261,10,2026-06-15,60,Rented,81,13.050398,80.274248,Inside,Medium
EQX1185,Bulldozer,Volvo,D8,2025,1.9,455,10,2026-07-14,60,Rented,92,11.036497,76.918705,Inside,Low
EQX1186,Excavator,Volvo,320 GX,2025,1.5,291,12,2026-07-29,30,Rented,98,13.098259,80.302009,Inside,High
EQX1187,Bulldozer,CASE,D6,2025,1.6,387,10,2026-07-04,45,Maintenance,93,13.048854,80.307547,Inside,Medium
EQX1188,Bulldozer,Komatsu,D8,2022,4.5,520,10,2026-07-24,45,Rented,82,12.990395,77.599037,Inside,Medium
EQX1189,Forklift,JCB,FD25,2025,1.1,119,8,2026-06-23,60,Available,97,12.932836,77.587922,Inside,Medium
EQX1190,Excavator,Komatsu,320D,2021,5.3,282,12,2026-06-17,60,Rented,73,12.926679,77.597198,Inside,Low
EQX1191,Motor Grader,Komatsu,160K,2019,7.8,192,10,2026-06-20,60,Available,64,17.366051,78.518307,Inside,Medium
EQX1192,Forklift,Volvo,DP50,2023,3.2,118,8,2026-06-25,30,Rented,87,17.415689,78.521024,Inside,Medium
EQX1193,Backhoe Loader,Hitachi,4DX,2022,5.0,139,10,2026-07-21,45,Rented,81,17.417196,78.442839,Inside,Low
EQX1194,Forklift,JCB,FD25,2024,2.6,82,8,2026-07-02,60,Rented,90,13.064619,80.252266,Inside,Low
EQX1195,Backhoe Loader,Hitachi,3DX,2023,3.6,140,10,2026-07-28,45,Rented,85,17.389648,78.438112,Inside,Low
EQX1196,Wheel Loader,Komatsu,966GC,2025,1.5,394,11,2026-07-02,45,Idle,98,9.953422,78.095115,Inside,High
EQX1197,Excavator,Hitachi,320D,2018,9.0,441,12,2026-06-03,60,Maintenance,68,17.37856,78.529114,Inside,High
EQX1198,Motor Grader,Hitachi,160K,2022,4.2,190,10,2026-07-01,30,Available,84,13.106714,80.260013,Inside,Low
EQX1199,Backhoe Loader,CAT,4DX,2019,7.8,140,10,2026-06-23,60,Rented,69,12.957911,77.63477,Inside,Medium
EQX1200,Backhoe Loader,CASE,3DX,2025,1.9,145,10,2026-07-06,30,Rented,89,9.914857,78.116209,Inside,Medium
EQX1201,Backhoe Loader,Komatsu,3DX,2017,9.3,128,10,2026-07-29,60,Idle,58,17.417832,78.514356,Inside,Low
EQX1202,Bulldozer,CAT,D8,2018,8.4,649,10,2026-07-26,30,Maintenance,70,12.929178,77.598317,Inside,Medium
EQX1203,Wheel Loader,Hitachi,950GC,2020,7.0,346,11,2026-06-30,45,Available,68,12.971627,77.635357,Inside,Low
EQX1204,Bulldozer,CAT,D9,2023,3.3,425,10,2026-06-17,45,Available,91,17.337801,78.481669,Inside,High
EQX1205,Backhoe Loader,JCB,4DX,2016,10.7,140,10,2026-06-15,30,Rented,53,11.011406,76.986711,Inside,Medium
EQX1206,Wheel Loader,Hitachi,966GC,2019,7.6,321,11,2026-06-02,45,Idle,73,11.059691,76.916161,Inside,Medium
EQX1207,Bulldozer,JCB,D6,2019,7.3,544,10,2026-07-28,30,Available,66,17.387744,78.445146,Inside,Low
EQX1208,Backhoe Loader,JCB,4DX,2016,10.2,120,10,2026-06-14,60,Maintenance,55,11.034229,76.936955,Inside,Medium
EQX1209,Backhoe Loader,Komatsu,B95,2023,3.6,172,10,2026-06-20,60,Available,82,17.365267,78.510755,Inside,High
EQX1210,Bulldozer,Komatsu,D9,2020,6.3,462,10,2026-07-29,45,Idle,74,17.414134,78.534886,Inside,Low
EQX1211,Motor Grader,JCB,120K,2016,10.2,205,10,2026-06-12,30,Rented,55,9.91058,78.107478,Inside,Low
EQX1212,Motor Grader,CASE,140K,2022,4.6,241,10,2026-06-30,45,Available,78,13.124808,80.275002,Inside,High
EQX1213,Forklift,CASE,DP50,2024,2.3,117,8,2026-07-09,60,Rented,93,17.382522,78.478628,Inside,Medium
EQX1214,Motor Grader,Volvo,140K,2019,7.8,242,10,2026-06-18,60,Rented,69,12.933401,77.575317,Inside,High
EQX1215,Forklift,CASE,DP50,2023,3.3,85,8,2026-07-28,45,Rented,82,9.92095,78.144409,Inside,Low
