rental_id,equipment_id,customer_id,site_id,site_name,site_city,check_in_date,expected_return_date,actual_return_date,rental_days,rental_rate_per_day,total_rental_cost,deposit_amount,payment_status,operator_id,contract_status,overdue_days
RNT100084,EQX1073,CUST1052,SITE130,Industrial Park,Hyderabad,2025-01-19,2025-01-25,2025-01-25,6,22000,132000,44000,Paid,OP1188,Completed,0
RNT100085,EQX1144,CUST1087,SITE124,Metro Rail Project,Madurai,2025-06-15,2025-06-23,2025-06-23,8,18000,144000,36000,Paid,OP1140,Completed,0
RNT100086,EQX1211,CUST1040,SITE128,Industrial Park,Hyderabad,2025-02-23,2025-02-27,2025-02-27,4,24000,96000,48000,Paid,OP1045,Completed,0
RNT100087,EQX1019,CUST1068,SITE112,Bridge Construction,Chennai,2025-06-29,2025-07-24,2025-07-24,25,25000,625000,50000,Paid,OP1104,Completed,0
RNT100088,EQX1164,CUST1093,SITE103,Highway Expansion,Bangalore,2025-03-21,2025-04-10,2025-04-17,20,30000,810000,60000,Partial,OP1091,Overdue,7
RNT100089,EQX1087,CUST1003,SITE114,Smart City Zone,Bangalore,2025-01-07,2025-01-16,2025-01-16,9,25000,225000,50000,Partial,OP1106,Completed,0
RNT100090,EQX1264,CUST1080,SITE129,Solar Power Plant,Mysore,2025-05-19,2025-06-16,2025-06-16,28,22000,616000,44000,Paid,OP1178,Completed,0
RNT100091,EQX1207,CUST1079,SITE105,IT Park,Chennai,2025-05-25,2025-06-05,2025-06-05,11,30000,330000,60000,Paid,OP1016,Completed,0
RNT100092,EQX1253,CUST1060,SITE116,River Embankment,Bangalore,2025-03-23,2025-04-15,2025-04-15,23,24000,552000,48000,Paid,OP1146,Completed,0
RNT100093,EQX1048,CUST1001,SITE129,Harbor Expansion,Salem,2025-03-13,2025-03-23,2025-03-23,10,30000,300000,60000,Paid,OP1002,Completed,0
RNT100094,EQX1088,CUST1034,SITE111,Industrial Park,Trichy,2025-01-14,2025-01-26,2025-01-26,12,18000,216000,36000,Pending,OP1054,Completed,0
RNT100095,EQX1152,CUST1042,SITE109,Residential Township,Hyderabad,2025-03-27,2025-04-08,2025-04-08,12,18000,216000,36000,Pending,OP1185,Completed,0
RNT100096,EQX1033,CUST1004,SITE114,Bridge Construction,Mysore,2025-01-04,2025-01-17,2025-01-24,13,24000,480000,48000,Paid,OP1006,Overdue,7
RNT100097,EQX1286,CUST1033,SITE121,Residential Township,Trichy,2025-01-23,2025-02-12,2025-02-12,20,18000,360000,36000,Paid,OP1020,Completed,0
RNT100098,EQX1265,CUST1056,SITE108,River Embankment,Madurai,2025-04-05,2025-04-14,2025-04-14,9,22000,198000,44000,Paid,OP1158,Completed,0
RNT100099,EQX1266,CUST1110,SITE113,Metro Rail Project,Chennai,2025-02-14,2025-03-15,2025-03-20,29,30000,1020000,60000,Paid,OP1188,Overdue,5
RNT100100,EQX1029,CUST1077,SITE123,Solar Power Plant,Chennai,2025-05-28,2025-06-11,2025-06-20,14,12000,276000,24000,Paid,OP1049,Overdue,9
RNT100101,EQX1087,CUST1001,SITE117,Mining Site,Chennai,2025-06-07,2025-06-18,2025-06-18,11,25000,275000,50000,Paid,OP1098,Completed,0
RNT100102,EQX1052,CUST1015,SITE110,Solar Power Plant,Coimbatore,2025-01-04,2025-02-01,2025-02-01,28,24000,672000,48000,Partial,OP1162,Completed,0
RNT100103,EQX1160,CUST1088,SITE120,IT Park,Trichy,2025-01-19,2025-02-12,2025-02-12,24,18000,432000,36000,Pending,OP1150,Completed,0
RNT100104,EQX1042,CUST1115,SITE110,Metro Rail Project,Mysore,2025-04-04,2025-04-24,2025-04-24,20,25000,500000,50000,Paid,OP1064,Completed,0
RNT100105,EQX1298,CUST1106,SITE126,Highway Expansion,Trichy,2025-01-11,2025-01-19,2025-01-19,8,22000,176000,44000,Paid,OP1056,Completed,0
RNT100106,EQX1101,CUST1075,SITE119,Highway Expansion,Mysore,2025-05-20,2025-06-09,2025-06-09,20,24000,480000,48000,Paid,OP1010,Completed,0
RNT100107,EQX1232,CUST1100,SITE101,Bridge Construction,Chennai,2025-02-03,2025-03-02,2025-03-02,27,18000,486000,36000,Pending,OP1072,Completed,0
RNT100108,EQX1202,CUST1051,SITE124,Highway Expansion,Mysore,2025-06-11,2025-07-02,2025-07-02,21,30000,630000,60000,Paid,OP1191,Completed,0
RNT100109,EQX1110,CUST1054,SITE113,Harbor Expansion,Coimbatore,2025-04-11,2025-04-26,2025-04-26,15,12000,180000,24000,Pending,OP1129,Completed,0
RNT100110,EQX1028,CUST1093,SITE101,Metro Rail Project,Bangalore,2025-01-03,2025-01-10,2025-01-20,7,12000,204000,24000,Paid,OP1168,Overdue,10
RNT100111,EQX1285,CUST1097,SITE109,IT Park,Bangalore,2025-04-08,2025-04-18,2025-04-18,10,30000,300000,60000,Paid,OP1064,Completed,0
RNT100112,EQX1156,CUST1118,SITE126,IT Park,Trichy,2025-01-21,2025-01-27,2025-01-27,6,30000,180000,60000,Paid,OP1163,Completed,0
RNT100113,EQX1264,CUST1043,SITE110,Airport Extension,Madurai,2025-02-25,2025-03-14,2025-03-14,17,22000,374000,44000,Paid,OP1001,Completed,0
RNT100114,EQX1284,CUST1098,SITE121,Highway Expansion,Salem,2025-02-06,2025-03-02,2025-03-02,24,18000,432000,36000,Paid,OP1144,Completed,0
RNT100115,EQX1298,CUST1028,SITE105,Solar Power Plant,Bangalore,2025-03-18,2025-04-13,2025-04-13,26,22000,572000,44000,Paid,OP1038,Completed,0
RNT100116,EQX1266,CUST1069,SITE104,Highway Expansion,Chennai,2025-01-15,2025-01-23,2025-01-29,8,30000,420000,60000,Pending,OP1023,Overdue,6
RNT100117,EQX1284,CUST1002,SITE117,Industrial Park,Bangalore,2025-06-07,2025-06-21,2025-06-22,14,18000,270000,36000,Partial,OP1079,Overdue,1
RNT100118,EQX1136,CUST1062,SITE101,Bridge Construction,Bangalore,2025-02-16,2025-03-06,2025-03-06,18,24000,432000,48000,Paid,OP1060,Completed,0
RNT100119,EQX1016,CUST1090,SITE113,Harbor Expansion,Trichy,2025-06-23,2025-07-15,2025-07-15,22,24000,528000,48000,Paid,OP1083,Completed,0
RNT100120,EQX1043,CUST1047,SITE107,Airport Extension,Hyderabad,2025-01-11,2025-02-01,2025-02-01,21,22000,462000,44000,Paid,OP1080,Completed,0
RNT100121,EQX1176,CUST1036,SITE112,Airport Extension,Trichy,2025-01-26,2025-02-25,2025-03-03,30,30000,1080000,60000,Partial,OP1067,Overdue,6
RNT100122,EQX1286,CUST1092,SITE111,Bridge Construction,Salem,2025-06-20,2025-07-04,2025-07-09,14,18000,342000,36000,Paid,OP1063,Overdue,5
RNT100123,EQX1095,CUST1016,SITE110,Metro Rail Project,Hyderabad,2025-06-01,2025-06-27,2025-06-27,26,18000,468000,36000,Paid,OP1050,Completed,0
RNT100124,EQX1091,CUST1010,SITE108,Residential Township,Madurai,2025-05-13,2025-05-27,2025-06-06,14,25000,600000,50000,Paid,OP1045,Overdue,10
RNT100125,EQX1161,CUST1055,SITE103,Smart City Zone,Chennai,2025-02-01,2025-02-14,2025-02-24,13,30000,690000,60000,Paid,OP1140,Overdue,10
RNT100126,EQX1229,CUST1032,SITE114,Bridge Construction,Chennai,2025-02-08,2025-02-14,2025-02-14,6,22000,132000,44000,Paid,OP1191,Completed,0
RNT100127,EQX1187,CUST1060,SITE109,Mining Site,Chennai,2025-05-01,2025-05-05,2025-05-05,4,30000,120000,60000,Pending,OP1152,Completed,0
RNT100128,EQX1038,CUST1010,SITE122,Smart City Zone,Madurai,2025-04-09,2025-05-02,2025-05-02,23,18000,414000,36000,Paid,OP1187,Completed,0
RNT100129,EQX1168,CUST1029,SITE117,Harbor Expansion,Chennai,2025-05-20,2025-06-11,2025-06-11,22,25000,550000,50000,Paid,OP1142,Completed,0
RNT100130,EQX1130,CUST1036,SITE106,River Embankment,Salem,2025-06-14,2025-07-04,2025-07-04,20,25000,500000,50000,Paid,OP1197,Completed,0
RNT100131,EQX1241,CUST1060,SITE121,Mining Site,Salem,2025-04-20,2025-04-22,2025-04-22,2,12000,24000,24000,Pending,OP1038,Completed,0
RNT100132,EQX1239,CUST1106,SITE128,Airport Extension,Hyderabad,2025-02-18,2025-03-14,2025-03-14,24,22000,528000,44000,Paid,OP1023,Completed,0
RNT100133,EQX1284,CUST1084,SITE110,Mining Site,Chennai,2025-03-14,2025-04-04,2025-04-05,21,18000,396000,36000,Paid,OP1194,Overdue,1
RNT100134,EQX1282,CUST1108,SITE102,IT Park,Coimbatore,2025-02-07,2025-03-06,2025-03-06,27,18000,486000,36000,Pending,OP1033,Completed,0
RNT100135,EQX1098,CUST1092,SITE114,IT Park,Trichy,2025-06-07,2025-06-20,2025-06-20,13,30000,390000,60000,Paid,OP1113,Completed,0
RNT100136,EQX1099,CUST1120,SITE112,Highway Expansion,Coimbatore,2025-05-01,2025-05-16,2025-05-16,15,22000,330000,44000,Paid,OP1082,Completed,0
RNT100137,EQX1178,CUST1118,SITE104,Smart City Zone,Trichy,2025-06-14,2025-07-07,2025-07-07,23,22000,506000,44000,Paid,OP1090,Completed,0
RNT100138,EQX1243,CUST1082,SITE105,Mining Site,Hyderabad,2025-05-05,2025-05-18,2025-05-18,13,30000,390000,60000,Paid,OP1052,Completed,0
RNT100139,EQX1144,CUST1018,SITE106,Smart City Zone,Chennai,2025-06-03,2025-06-18,2025-06-18,15,18000,270000,36000,Paid,OP1142,Completed,0
RNT100140,EQX1049,CUST1083,SITE110,Highway Expansion,Hyderabad,2025-02-24,2025-03-03,2025-03-03,7,12000,84000,24000,Pending,OP1131,Completed,0
RNT100141,EQX1045,CUST1005,SITE103,Harbor Expansion,Coimbatore,2025-05-25,2025-05-27,2025-05-27,2,25000,50000,50000,Paid,OP1183,Completed,0
RNT100142,EQX1244,CUST1084,SITE128,Mining Site,Trichy,2025-04-23,2025-05-20,2025-05-26,27,30000,990000,60000,Paid,OP1071,Overdue,6
RNT100143,EQX1193,CUST1062,SITE104,Highway Expansion,Hyderabad,2025-04-13,2025-04-23,2025-04-23,10,18000,180000,36000,Pending,OP1021,Completed,0
RNT100144,EQX1047,CUST1010,SITE115,Highway Expansion,Chennai,2025-05-29,2025-06-22,2025-06-22,24,24000,576000,48000,Paid,OP1079,Completed,0
RNT100145,EQX1155,CUST1115,SITE113,Mining Site,Bangalore,2025-05-15,2025-05-26,2025-05-26,11,18000,198000,36000,Pending,OP1157,Completed,0
RNT100146,EQX1029,CUST1038,SITE109,Industrial Park,Chennai,2025-01-22,2025-02-11,2025-02-11,20,12000,240000,24000,Pending,OP1109,Completed,0
RNT100147,EQX1150,CUST1055,SITE114,Industrial Park,Bangalore,2025-01-15,2025-01-26,2025-01-26,11,18000,198000,36000,Paid,OP1192,Completed,0
RNT100148,EQX1233,CUST1002,SITE130,Metro Rail Project,Trichy,2025-03-24,2025-04-09,2025-04-09,16,30000,480000,60000,Paid,OP1071,Completed,0
RNT100149,EQX1097,CUST1020,SITE108,Harbor Expansion,Trichy,2025-04-11,2025-04-23,2025-04-23,12,22000,264000,44000,Paid,OP1019,Completed,0
RNT100150,EQX1038,CUST1092,SITE128,River Embankment,Hyderabad,2025-02-17,2025-03-07,2025-03-07,18,18000,324000,36000,Paid,OP1097,Completed,0
RNT100151,EQX1069,CUST1077,SITE110,Harbor Expansion,Madurai,2025-02-02,2025-02-08,2025-02-08,6,25000,150000,50000,Paid,OP1023,Completed,0
RNT100152,EQX1083,CUST1092,SITE128,Highway Expansion,Mysore,2025-01-27,2025-01-30,2025-01-30,3,25000,75000,50000,Paid,OP1011,Completed,0
RNT100153,EQX1077,CUST1036,SITE109,Smart City Zone,Hyderabad,2025-03-17,2025-04-14,2025-04-18,28,18000,576000,36000,Pending,OP1134,Overdue,4
RNT100154,EQX1103,CUST1032,SITE120,Mining Site,Mysore,2025-05-28,2025-06-09,2025-06-12,12,25000,375000,50000,Paid,OP1159,Overdue,3
RNT100155,EQX1186,CUST1051,SITE113,Metro Rail Project,Mysore,2025-05-09,2025-05-20,2025-05-20,11,25000,275000,50000,Paid,OP1064,Completed,0
RNT100156,EQX1018,CUST1064,SITE116,Harbor Expansion,Madurai,2025-02-11,2025-02-26,2025-03-01,15,22000,396000,44000,Paid,OP1185,Overdue,3
RNT100157,EQX1175,CUST1083,SITE115,Industrial Park,Bangalore,2025-05-31,2025-06-26,2025-06-26,26,25000,650000,50000,Paid,OP1165,Completed,0
RNT100158,EQX1279,CUST1064,SITE102,Industrial Park,Bangalore,2025-01-09,2025-02-07,2025-02-07,29,25000,725000,50000,Paid,OP1065,Completed,0
RNT100159,EQX1282,CUST1038,SITE108,Highway Expansion,Hyderabad,2025-03-06,2025-03-21,2025-03-21,15,18000,270000,36000,Pending,OP1183,Completed,0
RNT100160,EQX1105,CUST1017,SITE130,Mining Site,Hyderabad,2025-04-12,2025-04-19,2025-04-19,7,12000,84000,24000,Paid,OP1109,Completed,0
RNT100161,EQX1052,CUST1070,SITE116,Mining Site,Hyderabad,2025-04-05,2025-04-14,2025-04-14,9,24000,216000,48000,Paid,OP1108,Completed,0
RNT100162,EQX1226,CUST1056,SITE118,Metro Rail Project,Hyderabad,2025-03-20,2025-04-13,2025-04-13,24,24000,576000,48000,Paid,OP1088,Completed,0
RNT100163,EQX1183,CUST1013,SITE128,Highway Expansion,Coimbatore,2025-02-14,2025-03-03,2025-03-10,17,12000,288000,24000,Paid,OP1088,Overdue,7
RNT100164,EQX1292,CUST1019,SITE128,Harbor Expansion,Mysore,2025-01-21,2025-02-06,2025-02-06,16,12000,192000,24000,Pending,OP1100,Completed,0
RNT100165,EQX1047,CUST1057,SITE120,River Embankment,Hyderabad,2025-01-20,2025-02-10,2025-02-10,21,24000,504000,48000,Paid,OP1071,Completed,0
