maintenance_id,equipment_id,service_date,service_type,issue_reported,part_replaced,downtime_hours,service_cost,next_service_due_date,service_status
MAIN10170,EQX1057,2025-01-17,Emergency Repair,Hydraulic Leakage,Battery,18.8,42590,2025-03-03,Completed
MAIN10171,EQX1142,2024-10-22,Corrective Maintenance,Bucket Damage,Hydraulic Pump,8.9,115868,2024-12-21,Completed
MAIN10172,EQX1061,2024-08-27,Inspection,No Issue,None,35.3,137326,2024-09-26,Completed
MAIN10173,EQX1098,2024-09-22,Hydraulic Service,Track Wear,Hydraulic Hose,9.5,55898,2024-11-06,Completed
MAIN10174,EQX1271,2025-02-25,Corrective Maintenance,Battery Failure,Brake Pads,12.0,132119,2025-04-11,Completed
MAIN10175,EQX1218,2024-09-23,Emergency Repair,Bucket Damage,Battery,41.4,96113,2024-11-07,Completed
MAIN10176,EQX1242,2025-04-24,Hydraulic Service,Engine Overheating,Bucket Teeth,19.0,124071,2025-05-24,Scheduled
MAIN10177,EQX1292,2024-07-15,Emergency Repair,Transmission Fault,Engine Belt,11.6,18676,2024-08-29,Completed
MAIN10178,EQX1146,2025-02-03,Corrective Maintenance,Fuel Leakage,Brake Pads,21.0,100099,2025-04-04,Completed
MAIN10179,EQX1210,2025-02-01,Emergency Repair,Track Wear,Track Chain,30.3,140951,2025-04-02,Completed
MAIN10180,EQX1153,2025-04-01,Emergency Repair,Battery Failure,Bucket Teeth,3.8,39839,2025-05-01,In Progress
MAIN10181,EQX1005,2025-05-09,Inspection,No Issue,None,3.2,93999,2025-07-08,Completed
MAIN10182,EQX1300,2024-11-01,Inspection,No Issue,None,12.1,87078,2024-12-31,Completed
MAIN10183,EQX1102,2025-04-22,Corrective Maintenance,Track Wear,Oil Filter,11.4,138834,2025-05-22,Completed
MAIN10184,EQX1223,2025-04-22,Preventive Maintenance,Bucket Damage,Fuel Filter,26.5,42842,2025-06-06,Completed
MAIN10185,EQX1085,2025-04-22,Corrective Maintenance,Hydraulic Leakage,Track Chain,32.0,78854,2025-06-06,Completed
MAIN10186,EQX1057,2024-07-31,Emergency Repair,Track Wear,Bucket Teeth,34.4,16001,2024-09-14,Completed
MAIN10187,EQX1153,2024-08-17,Corrective Maintenance,Battery Failure,Engine Belt,28.2,83259,2024-10-01,Completed
MAIN10188,EQX1181,2024-12-24,Preventive Maintenance,Battery Failure,Hydraulic Hose,47.4,63725,2025-02-07,Completed
MAIN10189,EQX1273,2024-10-30,Emergency Repair,Bucket Damage,Brake Pads,31.6,90514,2024-11-29,Completed
MAIN10190,EQX1064,2025-05-31,Corrective Maintenance,Hydraulic Leakage,Hydraulic Hose,35.4,63225,2025-07-15,Completed
MAIN10191,EQX1105,2025-03-14,Hydraulic Service,Track Wear,Track Chain,4.6,79937,2025-04-28,Scheduled
MAIN10192,EQX1112,2025-04-23,Hydraulic Service,Transmission Fault,Bucket Teeth,2.6,12145,2025-05-23,Completed
MAIN10193,EQX1074,2025-06-29,Inspection,No Issue,None,23.3,24024,2025-08-28,Completed
MAIN10194,EQX1111,2024-12-12,Corrective Maintenance,Hydraulic Leakage,Brake Pads,20.8,141057,2025-01-26,Completed
MAIN10195,EQX1154,2024-12-21,Preventive Maintenance,Transmission Fault,Engine Belt,22.0,63340,2025-02-04,Completed
MAIN10196,EQX1177,2025-06-27,Corrective Maintenance,Fuel Leakage,Oil Filter,34.3,51264,2025-07-27,In Progress
MAIN10197,EQX1077,2024-10-15,Emergency Repair,Transmission Fault,Brake Pads,8.8,108089,2024-11-14,In Progress
MAIN10198,EQX1036,2024-10-03,Hydraulic Service,Fuel Leakage,Battery,30.4,53140,2024-12-02,In Progress
MAIN10199,EQX1168,2025-06-07,Preventive Maintenance,Hydraulic Leakage,Fuel Filter,34.5,65816,2025-07-22,Completed
MAIN10200,EQX1124,2024-12-27,Preventive Maintenance,Bucket Damage,Hydraulic Hose,7.5,18327,2025-02-10,Completed
MAIN10201,EQX1134,2025-02-12,Hydraulic Service,Brake Wear,Track Chain,28.2,50764,2025-03-29,Completed
MAIN10202,EQX1016,2024-09-13,Preventive Maintenance,Hydraulic Leakage,Engine Belt,37.8,140329,2024-11-12,Completed
MAIN10203,EQX1213,2025-06-07,Preventive Maintenance,Engine Overheating,Battery,17.2,135285,2025-07-22,Completed
MAIN10204,EQX1143,2024-11-28,Preventive Maintenance,Bucket Damage,Hydraulic Pump,45.4,12578,2024-12-28,Completed
MAIN10205,EQX1210,2024-09-21,Emergency Repair,Transmission Fault,Oil Filter,5.5,128605,2024-11-05,Completed
MAIN10206,EQX1026,2025-04-25,Emergency Repair,Brake Wear,Hydraulic Pump,28.6,63072,2025-05-25,Completed
MAIN10207,EQX1084,2025-02-10,Inspection,No Issue,None,12.7,22507,2025-03-27,Completed
MAIN10208,EQX1177,2025-04-16,Corrective Maintenance,Brake Wear,Hydraulic Pump,25.5,139757,2025-06-15,Completed
MAIN10209,EQX1269,2024-10-02,Corrective Maintenance,Battery Failure,Bucket Teeth,35.8,132352,2024-11-01,Completed
MAIN10210,EQX1214,2024-12-04,Emergency Repair,Low Engine Oil,Engine Belt,11.0,19835,2025-01-03,In Progress
MAIN10211,EQX1116,2025-02-03,Corrective Maintenance,Fuel Leakage,Engine Belt,41.0,138555,2025-04-04,Completed
MAIN10212,EQX1026,2025-01-02,Corrective Maintenance,Hydraulic Leakage,Bucket Teeth,20.5,24561,2025-02-01,Completed
MAIN10213,EQX1263,2024-07-22,Preventive Maintenance,Track Wear,Oil Filter,11.2,143992,2024-08-21,Completed
MAIN10214,EQX1160,2025-04-23,Inspection,No Issue,None,12.0,21531,2025-05-23,Completed
MAIN10215,EQX1105,2024-12-02,Hydraulic Service,Fuel Leakage,Battery,43.4,29460,2025-01-31,Completed
MAIN10216,EQX1171,2025-06-15,Corrective Maintenance,Low Engine Oil,Brake Pads,37.6,66077,2025-08-14,Completed
MAIN10217,EQX1167,2024-11-20,Preventive Maintenance,Low Engine Oil,Track Chain,22.6,65459,2024-12-20,Scheduled
MAIN10218,EQX1235,2024-08-05,Preventive Maintenance,Hydraulic Leakage,Track Chain,28.8,83992,2024-10-04,Completed
MAIN10219,EQX1010,2025-03-26,Inspection,No Issue,None,2.4,110305,2025-05-10,Completed
MAIN10220,EQX1005,2024-07-15,Corrective Maintenance,Engine Overheating,Engine Belt,37.6,90821,2024-09-13,Completed
MAIN10221,EQX1044,2025-02-26,Corrective Maintenance,Engine Overheating,Hydraulic Pump,13.7,76440,2025-03-28,Completed
MAIN10222,EQX1102,2025-04-29,Hydraulic Service,Track Wear,Fuel Filter,47.8,93428,2025-05-29,Completed
MAIN10223,EQX1044,2024-09-03,Inspection,No Issue,None,45.6,147149,2024-10-03,Completed
MAIN10224,EQX1130,2025-02-19,Preventive Maintenance,Track Wear,Engine Belt,25.1,124262,2025-04-20,Completed
