telemetry_id,equipment_id,rental_id,timestamp,engine_hours_today,total_engine_hours,idle_hours_today,fuel_level_percent,fuel_consumed_liters,engine_temperature_c,hydraulic_pressure_bar,vibration_score,rpm,gps_lat,gps_lon,distance_from_site_km,geofence_flag,movement_status,fault_code,alert_flag,alert_type,condition_score
TEL100075,EQX1126,RNT104384,2025-02-05 17:37:00,3.48,11902,2.96,45.4,53.27,71.9,214.3,7.31,1944,17.385133,78.468941,3.34,Inside,Working,HYD002,Yes,High Vibration,82
TEL100076,EQX1279,RNT101724,2025-12-20 23:12:00,7.69,3582,6.69,8.8,108.12,91.9,296.5,2.46,1868,13.013948,77.59782,0.08,Outside,Idle,FUEL004,Yes,Low Fuel,80
TEL100077,EQX1249,RNT102975,2025-01-31 02:20:00,0.6,3067,0.13,28.0,9.36,99.8,200.2,4.14,1008,12.953381,77.56094,4.93,Inside,Working,NONE,No,None,78
TEL100078,EQX1278,RNT102117,2025-04-02 18:34:00,1.95,2983,0.73,52.1,24.76,109.1,303.8,6.36,2079,13.01708,77.536869,0.55,Inside,Idle,TMP003,Yes,High Temperature,71
TEL100079,EQX1041,RNT102251,2025-09-25 07:01:00,0.6,3796,0.53,55.7,6.85,91.3,267.0,1.6,846,17.405684,78.523444,1.06,Inside,Idle,NONE,No,None,87
TEL100080,EQX1036,RNT101561,2025-01-12 23:58:00,2.62,9876,1.96,20.3,38.7,77.0,251.4,4.45,1867,11.062051,76.936175,2.54,Inside,Idle,NONE,No,None,87
TEL100081,EQX1073,RNT102816,2025-07-15 17:50:00,9.63,4302,7.8,56.6,103.86,90.7,279.7,3.48,1321,11.05278,76.999069,3.57,Inside,Working,NONE,No,None,74
TEL100082,EQX1156,RNT101982,2025-03-26 07:37:00,0.42,2750,0.23,39.5,3.94,85.2,314.4,3.13,1821,17.350447,78.475899,1.56,Inside,Working,NONE,No,None,87
TEL100083,EQX1267,RNT101970,2025-10-30 16:35:00,8.37,4067,4.59,99.5,146.28,100.6,233.6,7.58,1037,11.007753,76.941358,4.15,Inside,Working,TMP003,Yes,High Temperature,65
TEL100084,EQX1036,RNT100903,2025-02-25 17:16:00,7.41,10264,0.27,32.0,104.83,89.6,312.2,5.91,1685,11.062578,76.935696,4.55,Inside,Working,NONE,No,None,82
TEL100085,EQX1150,RNT101546,2025-12-08 14:19:00,5.5,6684,4.23,22.9,60.1,104.6,216.9,6.21,1480,11.05375,76.915841,3.05,Outside,Working,TMP003,Yes,High Temperature,72
TEL100086,EQX1172,RNT100485,2025-12-05 06:37:00,2.77,2876,1.14,98.6,53.11,97.5,292.6,2.72,1942,12.927631,77.555772,2.26,Inside,Idle,NONE,No,None,79
TEL100087,EQX1171,RNT100014,2025-06-11 05:03:00,7.61,14647,1.66,68.5,121.25,102.8,191.6,7.83,1071,11.002397,76.937681,4.56,Inside,Working,TMP003,Yes,High Temperature,69
TEL100088,EQX1082,RNT100192,2025-01-01 02:38:00,9.32,8600,3.91,86.9,137.38,105.3,283.0,5.76,814,9.946111,78.119797,2.58,Inside,Stopped,TMP003,Yes,High Temperature,70
TEL100089,EQX1192,RNT102043,2025-02-04 13:52:00,8.03,7117,3.2,31.9,85.45,89.5,296.8,3.62,1824,17.406237,78.528558,1.23,Inside,Travelling,NONE,No,None,79
TEL100090,EQX1288,RNT103764,2025-12-22 06:34:00,3.89,10365,2.76,94.5,39.14,71.3,281.6,3.83,1005,11.034716,76.994994,0.78,Inside,Idle,NONE,No,None,86
TEL100091,EQX1213,RNT102597,2025-06-19 14:43:00,4.21,13210,2.49,26.5,48.08,81.3,222.4,4.27,1096,17.376593,78.474617,2.9,Inside,Travelling,NONE,No,None,87
TEL100092,EQX1004,RNT100518,2025-08-04 09:34:00,8.75,3083,4.77,63.2,138.71,90.7,222.1,2.03,1502,11.053742,76.900155,0.57,Inside,Idle,NONE,No,None,81
TEL100093,EQX1295,RNT104424,2025-04-08 11:14:00,10.62,5338,5.54,73.9,133.58,91.3,260.4,6.71,1799,17.368718,78.442162,0.66,Inside,Travelling,HYD002,Yes,High Vibration,69
TEL100094,EQX1133,RNT102198,2025-08-03 17:09:00,11.62,10145,11.19,60.1,93.54,82.1,308.1,7.87,830,17.417338,78.532555,2.04,Inside,Stopped,HYD002,Yes,High Vibration,71
TEL100095,EQX1294,RNT102006,2025-05-13 07:03:00,8.02,13089,0.72,55.8,148.0,70.5,302.5,6.57,1759,17.380496,78.503204,2.96,Inside,Working,HYD002,Yes,High Vibration,88
TEL100096,EQX1278,RNT102117,2025-01-02 15:35:00,8.26,12127,5.29,27.7,159.85,92.0,209.0,5.74,1407,13.014773,77.537716,1.68,Inside,Working,NONE,No,None,76
TEL100097,EQX1115,RNT103976,2025-05-26 22:47:00,11.35,13535,7.61,49.8,107.88,105.8,247.2,2.14,1621,17.374258,78.492865,0.31,Inside,Working,TMP003,Yes,High Temperature,73
TEL100098,EQX1067,RNT103240,2025-10-01 08:05:00,2.75,13440,2.58,87.8,54.96,89.1,303.0,4.34,1300,17.430275,78.518006,3.35,Inside,Working,NONE,No,None,83
TEL100099,EQX1091,RNT102328,2025-04-24 17:58:00,9.49,14775,3.3,16.5,131.9,78.1,273.1,4.51,2165,9.89262,78.127598,2.93,Outside,Travelling,GPS005,Yes,Geofence Breach,82
TEL100100,EQX1116,RNT102863,2025-11-18 09:48:00,7.45,9331,2.03,23.9,109.59,78.8,214.1,7.54,943,17.358939,78.504552,3.82,Inside,Working,HYD002,Yes,High Vibration,77
TEL100101,EQX1266,RNT102348,2025-01-28 17:34:00,2.08,8448,0.51,44.8,36.93,104.8,296.6,4.66,1442,11.045295,76.999682,4.06,Inside,Idle,TMP003,Yes,High Temperature,73
TEL100102,EQX1281,RNT102511,2025-09-22 10:41:00,5.78,1686,2.23,31.5,102.71,107.3,224.4,0.74,1654,9.927962,78.098733,1.42,Inside,Working,TMP003,Yes,High Temperature,80
TEL100103,EQX1126,RNT104363,2025-03-04 04:02:00,3.73,11836,1.94,30.7,68.63,106.9,265.8,3.85,1217,17.380755,78.485173,3.09,Inside,Travelling,TMP003,Yes,High Temperature,72
TEL100104,EQX1110,RNT101609,2025-11-18 02:48:00,7.23,11042,0.77,28.3,80.99,92.0,274.3,1.22,1372,13.067158,80.313608,4.67,Outside,Working,GPS005,Yes,Geofence Breach,88
TEL100105,EQX1137,RNT104781,2025-05-19 00:18:00,4.64,5032,3.47,12.9,83.26,95.3,214.7,2.49,1028,9.959534,78.111986,0.8,Inside,Working,FUEL004,Yes,Low Fuel,78
TEL100106,EQX1027,RNT101368,2025-05-14 00:13:00,5.89,11681,4.8,93.2,57.7,87.5,202.3,5.27,2171,12.96314,77.606816,3.47,Inside,Idle,NONE,No,None,77
TEL100107,EQX1112,RNT104823,2025-03-12 16:38:00,9.75,11527,8.29,42.2,133.99,94.3,317.2,6.25,803,11.021622,76.905589,1.34,Inside,Working,HYD002,Yes,High Vibration,72
TEL100108,EQX1241,RNT104358,2025-01-20 09:17:00,11.12,1131,1.5,28.9,122.14,107.6,229.9,7.02,1836,17.347778,78.468708,2.31,Inside,Working,TMP003,Yes,High Temperature,69
TEL100109,EQX1242,RNT101532,2025-08-30 01:07:00,7.8,1731,2.41,31.2,133.46,96.0,221.9,3.85,935,10.987889,76.964556,3.24,Inside,Working,NONE,No,None,81
TEL100110,EQX1043,RNT101387,2025-02-27 09:01:00,4.88,11069,3.84,24.6,77.57,71.5,282.0,4.03,908,9.919786,78.129176,4.15,Inside,Working,NONE,No,None,84
TEL100111,EQX1190,RNT102936,2025-02-20 22:14:00,3.44,3600,2.78,41.1,56.38,101.3,214.2,1.31,1406,12.917964,77.593755,0.32,Inside,Working,TMP003,Yes,High Temperature,82
TEL100112,EQX1195,RNT101834,2025-07-24 13:48:00,3.27,5843,3.08,17.3,60.68,109.1,287.1,1.08,1134,17.396413,78.431873,2.34,Inside,Idle,TMP003,Yes,High Temperature,81
TEL100113,EQX1266,RNT102348,2025-08-15 10:48:00,5.66,8672,0.32,81.6,62.27,81.1,265.0,3.21,1477,11.046771,76.982475,2.35,Inside,Travelling,NONE,No,None,91
TEL100114,EQX1045,RNT100646,2025-09-07 01:17:00,6.94,14809,0.46,64.3,93.06,104.6,306.0,7.77,1617,13.085647,80.285031,3.61,Inside,Working,TMP003,Yes,High Temperature,70
TEL100115,EQX1097,RNT103204,2025-09-04 19:05:00,8.16,14022,4.56,34.7,138.55,107.0,299.6,1.83,2166,12.918982,77.60892,4.38,Inside,Working,TMP003,Yes,High Temperature,78
TEL100116,EQX1067,RNT104582,2025-08-24 18:57:00,9.49,10900,7.04,96.3,151.19,97.8,243.3,1.0,1624,17.433823,78.528718,0.35,Inside,Working,NONE,No,None,80
TEL100117,EQX1177,RNT102778,2025-11-15 10:06:00,2.28,1367,0.73,67.9,24.56,89.9,245.1,2.67,1990,13.062746,80.273215,0.97,Outside,Stopped,GPS005,Yes,Geofence Breach,84
TEL100118,EQX1079,RNT103423,2025-05-02 03:24:00,9.61,6822,1.09,66.4,96.54,71.9,234.9,4.26,1450,17.386388,78.472116,2.73,Inside,Idle,NONE,No,None,91
TEL100119,EQX1077,RNT104099,2025-05-26 22:09:00,9.68,10608,0.27,25.2,101.98,99.3,283.0,4.64,1101,11.062319,76.991853,4.06,Inside,Travelling,NONE,No,None,81
TEL100120,EQX1176,RNT103102,2025-02-18 16:42:00,1.09,8582,0.45,89.3,11.58,101.4,243.9,1.14,1561,12.989111,77.6127,0.17,Inside,Travelling,TMP003,Yes,High Temperature,83
TEL100121,EQX1034,RNT103174,2025-04-21 15:44:00,7.48,13602,6.66,36.6,127.57,103.5,226.1,2.04,1346,10.993717,76.925497,1.86,Inside,Working,TMP003,Yes,High Temperature,78
TEL100122,EQX1041,RNT102709,2025-09-28 05:00:00,11.83,688,2.4,40.7,143.53,88.7,279.5,1.92,732,17.422107,78.512217,3.87,Inside,Idle,NONE,No,None,89
TEL100123,EQX1211,RNT100732,2025-09-25 05:25:00,11.87,11380,9.32,39.4,95.42,70.3,280.8,7.3,1122,9.917025,78.09794,3.75,Inside,Working,HYD002,Yes,High Vibration,76
TEL100124,EQX1016,RNT100119,2025-12-31 01:48:00,0.76,3680,0.48,65.9,7.97,75.6,305.7,4.35,1086,9.952712,78.124542,2.61,Inside,Working,NONE,No,None,85
TEL100125,EQX1045,RNT103746,2025-05-11 14:48:00,11.54,10693,11.08,42.8,209.78,73.6,200.0,0.91,1205,13.093202,80.283192,2.4,Inside,Working,NONE,No,None,85
TEL100126,EQX1113,RNT102157,2025-04-13 08:59:00,8.29,3990,2.53,28.6,158.21,71.4,222.4,6.77,1315,13.116052,80.283689,4.64,Inside,Working,HYD002,Yes,High Vibration,81
TEL100127,EQX1193,RNT100537,2025-02-21 22:18:00,1.49,5648,0.36,52.6,20.44,96.0,261.8,6.83,1067,17.409894,78.44435,1.46,Inside,Stopped,HYD002,Yes,High Vibration,73
TEL100128,EQX1049,RNT104659,2025-02-24 19:20:00,11.1,14175,3.11,87.4,209.55,103.7,298.0,7.04,1793,9.89493,78.159689,0.13,Inside,Working,TMP003,Yes,High Temperature,72
TEL100129,EQX1154,RNT102694,2025-10-19 01:18:00,5.88,11804,1.37,55.7,49.52,79.9,204.9,0.61,1149,10.983995,76.943263,2.7,Inside,Working,NONE,No,None,91
TEL100130,EQX1112,RNT100963,2025-02-03 07:39:00,4.76,7380,2.08,18.9,54.82,88.2,250.0,5.52,1420,11.014084,76.912464,3.62,Inside,Travelling,NONE,No,None,76
TEL100131,EQX1051,RNT103407,2025-09-01 02:07:00,1.96,9946,0.96,57.2,28.18,81.8,234.5,5.54,1152,17.40486,78.520963,4.27,Inside,Working,NONE,No,None,84
TEL100132,EQX1226,RNT102165,2025-06-05 00:34:00,2.89,4787,1.46,57.9,54.22,88.3,306.2,0.96,1843,13.026781,80.25801,1.33,Inside,Travelling,NONE,No,None,86
TEL100133,EQX1181,RNT101994,2025-05-30 08:25:00,4.13,10282,3.75,53.7,54.61,72.7,221.4,4.5,1031,17.36928,78.513171,2.93,Inside,Working,NONE,No,None,89
TEL100134,EQX1288,RNT101247,2025-07-18 20:33:00,6.83,1556,1.69,89.2,117.08,89.5,307.3,2.84,2136,11.052912,76.997185,0.24,Inside,Working,NONE,No,None,83
TEL100135,EQX1143,RNT101978,2025-12-17 06:27:00,3.3,7949,2.33,67.1,45.03,82.0,257.7,0.54,1159,17.373719,78.486476,1.6,Inside,Stopped,NONE,No,None,90
